name,netblock,country,city,category,comment
ABCCOMMUNICATIONS,216.57.176.0/20,CA,Burns Lake,,
AKAMAI,217.212.238.0/24,FR,,,
AKAMAI-209-107-220-0-24,209.107.220.0/24,US,Cambridge,,
AKAMAI-PA,2.18.212.0/22,EU,,,
AKAMAI-TINET,213.200.111.0/24,FR,,,
AM-GNC-970310,195.250.64.0/19,AM,,,
AMAZO-CF1,54.240.128.0/18,US,Seattle,,
AMAZO-CF2,54.192.0.0/16,US,Seattle,,
AMAZO-ZDUB6,54.72.0.0/15,IE,Dublin,,
AMAZO-ZIAD7,54.204.0.0/15,US,Ashburn,,
AMAZO-ZL4,54.230.0.0/15,US,Ashburn,,
AMAZON-DUB,52.48.0.0/14,IE,Dublin,,
AMAZON-EC2-5,174.129.0.0/16,US,Ashburn,,
AMAZON-EU-LHR2-AWS,176.34.240.0/21,NL,Dublin,,
ARIOTEK-LTD-NET,178.18.116.0/23,GB,,,
ARUBA-NET,62.149.128.0/19,IT,Arezzo,,
AS29550-infra,94.76.204.192/26,GB,,,
ASTOUND-ARIN-1,104.220.0.0/16,US,Granite Bay,,
AT-88-Z,52.192.0.0/11,US,Ashburn,,
AT-88-Z, 52.88.0.0/13,US,Seattle,,
BINARY-NET-IPV4,216.229.0.0/19,US,Ashland,,
BIZLAND-FC03,65.254.224.0/19,US,Burlington,,
BLACK-LOTUS-COMMUNICATIONS,192.184.8.0/21,US,Los Angeles,,
BLUEHOST-NETWORK-2,74.220.192.0/19,US,Orem,,
BSB-SERVICE-1,85.25.236.0/22,DE,Hoest,,
BT-CUST-48,194.72.108.0/23,GB,,,
Castlegem-08-upstreamNet,212.69.166.128/27,AT,,,
CAVERN-TECH-74-122-204-0,74.122.204.0/26,US,Lenexa,,
CEDANT-1,66.175.0.0/18,US,Davis,,
CH-ROOKMEDIA-20110921,141.8.224.0/21,CH,,,
CLOUDFLARENET,104.16.0.0/12,US,San Francisco,CDN,
CLOUDIE-HK,103.51.144.0/22,HK,Chai Wan Kok,,
COMPILA-UK,195.238.172.0/22,GB,Hendon,,
CONFLUENCE-NETWORKS-INC,209.99.40.0/24,US,Austin,,
DE-FASTIT-20080702,93.186.192.0/20,DE,,,
DE-HETZNER-20050803,88.99.0.0/16,DE,,,
DE-PHPFRIENDS,31.172.86.128/26,DE,,,
DE-TEAMINTERNET-20140411,185.53.176.0/22,DE,,,
DIGITALOCEAN-10,104.236.0.0/16,US,New York,,
DIGITALOCEAN-11,45.55.0.0/16,US,San Francisco,,
DIGITALOCEAN-15,138.68.0.0/16,US,New York,,
DIGITALOCEAN-6,192.241.128.0/17,US,New York,,
DIGITALOCEAN-8,107.170.0.0/16,US,New York,,
DMPL,70.32.0.0/20,US,Arlington Heights,,
ECIRCLE-NET,91.192.40.0/22,DE,,,
ECOMMERCE-HOSTING,76.162.0.0/15,US,Columbus,,
EDGECAST-NETBLK-03,93.184.220.0/22,EU,,,
EICAT-NETBLK01,66.96.16.0/20,CA,Richmond Hill,,
ENOM-BLOCK-2,98.124.192.0/18,US,Kirkland,,
ENZUINC-US-BLK6,198.71.80.0/20,US,Chicago,,
FASTHOSTS-UK-NETWORK,213.171.216.0/22,GB,Gloucester,,
FIBER7-790ALB-NET,212.51.156.0/24,CH,Zuerich (Kreis 11) / Oerlikon,,
FR-OVH-20100119,178.32.0.0/15,FR,,,
FR-OVH-20120823,5.196.0.0/16,FR,,,
G-CUS-SPOTIFY,194.132.168.0/22,SE,,,
G-CUST-NB02,83.223.106.0/24,GB,Braintree,,
GAL,94.126.0.0/22,DK,,,
GANDIFR-NET4,217.70.184.0/24,FR,,,
GO-DADDY-COM-LLC,184.168.0.0/16,US,Scottsdale,,
GO-DADDY-COM-LLC,50.62.0.0/15,US,Scottsdale,,
GO-DADDY-NETHERLANDS-BV,188.121.52.0/22,NL,,,
GOOGLE,172.217.0.0/16,US,Mountain View,,
GOOGLE,74.125.0.0/16,US,Mountain View,,
GOOGLE,216.239.32.0/19,US,Mountain View,,
GOOGLE,216.58.192.0/19,US,Mountain View,,
GOOGLE,173.194.0.0/16,US,Portage,,
GOOGLE-CLOUD,23.236.48.0/20,US,Mountain View,,
HEGUS-7,209.126.96.0/19,US,St Louis,,
HETZNER-RZ-BLK-ERX4,138.201.0.0/16,DE,,,
HETZNER-RZ-NBG-NET,78.46.32.0/19,DE,Nuremberg,,
HETZNER-RZ10,188.40.99.64/26,DE,,,
HETZNER-RZ12,178.63.61.64/26,DE,,,
HETZNER-RZ14,176.9.1.192/27,DE,,,
HETZNER-RZ14,46.4.103.32/27,DE,,,
HETZNER-RZ16,5.9.110.224/27,DE,,,
HETZNER-RZ16,5.9.59.64/27,DE,,,
